DEF_HARPNUM,Minimum,Maximum
4092,2014-05-03 05:24:00,2014-05-12 21:48:00
2400,2013-01-15 07:12:00,2013-01-27 12:12:00
6632,2016-06-16 21:00:00,2016-06-27 19:24:00
2594,2013-03-25 19:00:00,2013-04-01 21:48:00
7288,2018-07-20 12:24:00,2018-07-21 18:12:00
5991,2015-09-26 23:48:00,2015-10-08 05:12:00
5525,2015-04-29 10:12:00,2015-04-29 20:48:00
7211,2017-12-18 18:24:00,2017-12-30 12:24:00
3054,2013-08-08 21:24:00,2013-08-14 20:36:00
1760,2012-06-09 09:36:00,2012-06-12 23:12:00
5908,2015-08-24 21:36:00,2015-09-02 14:36:00
7266,2018-06-03 01:00:00,2018-06-03 05:12:00
6823,2016-10-28 18:36:00,2016-10-31 16:00:00
223,2010-10-18 02:00:00,2010-10-28 14:48:00
6574,2016-05-23 03:00:00,2016-05-31 05:24:00
359,2011-01-30 20:00:00,2011-02-06 22:00:00
6497,2016-04-14 12:00:00,2016-04-14 18:12:00
3569,2014-01-02 06:00:00,2014-01-08 22:12:00
3933,2014-03-28 06:36:00,2014-03-29 08:24:00
5081,2015-01-14 21:00:00,2015-01-15 05:24:00
1327,2012-01-15 07:00:00,2012-01-17 23:36:00
3849,2014-03-12 15:24:00,2014-03-20 13:00:00
3587,2014-01-05 13:24:00,2014-01-08 11:24:00
5115,2015-01-25 10:00:00,2015-01-26 08:12:00
1350,2012-01-26 03:00:00,2012-02-08 14:48:00
3464,2013-12-03 23:00:00,2013-12-07 03:36:00
664,2011-06-10 20:48:00,2011-06-11 09:00:00
2398,2013-01-14 00:24:00,2013-01-20 00:24:00
4670,2014-10-09 01:00:00,2014-10-09 16:36:00
6144,2015-11-26 10:36:00,2015-11-30 20:48:00
6133,2015-11-20 08:24:00,2015-11-21 10:12:00
2295,2012-12-12 05:00:00,2012-12-18 23:48:00
2301,2012-12-13 03:12:00,2012-12-24 23:00:00
3563,2013-12-30 21:00:00,2014-01-15 03:24:00
3480,2013-12-08 09:36:00,2013-12-14 20:48:00
5012,2014-12-29 09:48:00,2015-01-07 16:00:00
3514,2013-12-16 14:24:00,2013-12-19 04:00:00
5186,2015-02-07 12:24:00,2015-02-20 15:24:00
1220,2011-12-18 15:36:00,2011-12-27 06:00:00
3419,2013-11-22 07:36:00,2013-11-24 18:36:00
3843,2014-03-09 04:24:00,2014-03-22 07:00:00
6034,2015-10-17 11:00:00,2015-10-23 16:24:00
4700,2014-10-16 15:24:00,2014-10-19 20:12:00
619,2011-05-22 04:36:00,2011-05-24 15:24:00
4777,2014-11-02 15:12:00,2014-11-08 22:48:00
6043,2015-10-19 12:48:00,2015-10-21 19:12:00
714,2011-07-10 16:36:00,2011-07-24 01:36:00
4799,2014-11-07 10:24:00,2014-11-16 13:36:00
680,2011-06-22 05:00:00,2011-06-24 01:36:00
5455,2015-04-13 01:12:00,2015-04-18 16:12:00
3153,2013-09-03 21:36:00,2013-09-13 23:00:00
1667,2012-05-14 21:00:00,2012-05-23 03:00:00
5878,2015-08-11 23:00:00,2015-08-12 06:24:00
1610,2012-04-23 14:12:00,2012-04-30 14:12:00
7282,2018-06-28 22:12:00,2018-06-29 14:48:00
3124,2013-08-24 21:48:00,2013-09-04 02:00:00
5422,2015-04-02 22:36:00,2015-04-14 09:36:00
1784,2012-06-19 00:48:00,2012-06-22 09:48:00
7316,2018-10-14 19:12:00,2018-10-20 20:24:00
5902,2015-08-23 17:12:00,2015-08-28 04:12:00
5558,2015-05-12 20:12:00,2015-05-12 21:00:00
5896,2015-08-22 14:48:00,2015-08-24 17:12:00
1689,2012-05-20 19:24:00,2012-05-30 02:00:00
3029,2013-07-30 17:48:00,2013-08-02 13:12:00
4330,2014-07-03 10:12:00,2014-07-04 22:36:00
229,2010-10-19 09:24:00,2010-10-20 07:48:00
6404,2016-03-02 13:24:00,2016-03-06 12:24:00
6590,2016-05-28 17:48:00,2016-05-29 12:36:00
2636,2013-04-05 15:12:00,2013-04-16 01:48:00
2641,2013-04-05 15:48:00,2013-04-12 03:12:00
6829,2016-10-31 21:12:00,2016-11-12 09:12:00
6509,2016-04-24 08:12:00,2016-04-24 22:12:00
324,2010-12-30 14:24:00,2011-01-09 07:12:00
937,2011-10-07 02:36:00,2011-10-14 10:00:00
6340,2016-02-07 07:48:00,2016-02-07 20:24:00
2091,2012-09-30 08:00:00,2012-10-05 21:12:00
6337,2016-02-06 13:24:00,2016-02-11 07:48:00
940,2011-10-08 14:12:00,2011-10-23 00:36:00
4859,2014-11-22 09:24:00,2014-11-27 16:36:00
4597,2014-09-22 02:00:00,2014-09-28 13:24:00
2105,2012-10-05 07:36:00,2012-10-07 10:00:00
4579,2014-09-18 05:12:00,2014-09-23 20:00:00
4954,2014-12-17 07:00:00,2014-12-27 13:24:00
2008,2012-09-02 17:36:00,2012-09-07 02:12:00
5285,2015-03-04 12:36:00,2015-03-05 05:00:00
5311,2015-03-08 16:00:00,2015-03-13 19:24:00
3783,2014-02-21 03:24:00,2014-02-21 19:12:00
5366,2015-03-22 08:36:00,2015-04-03 20:36:00
6770,2016-09-20 04:00:00,2016-09-25 23:00:00
2918,2013-06-30 22:12:00,2013-07-07 10:00:00
6693,2016-08-04 08:36:00,2016-08-09 03:48:00
4033,2014-04-16 15:36:00,2014-04-23 12:00:00
2981,2013-07-17 13:12:00,2013-08-01 05:12:00
4149,2014-05-17 13:24:00,2014-05-17 14:12:00
2862,2013-06-14 16:00:00,2013-06-16 08:24:00
2438,2013-01-31 11:00:00,2013-02-03 15:12:00
1949,2012-08-19 10:36:00,2012-08-22 00:12:00
7015,2017-05-17 08:24:00,2017-05-26 14:00:00
5721,2015-06-28 06:36:00,2015-06-30 08:24:00
7181,2017-10-31 11:36:00,2017-10-31 21:36:00
1564,2012-04-11 07:00:00,2012-04-14 00:00:00
3250,2013-10-02 14:24:00,2013-10-08 05:48:00
5756,2015-07-06 17:24:00,2015-07-10 12:12:00
1844,2012-07-06 17:36:00,2012-07-08 20:00:00
7118,2017-08-29 21:12:00,2017-09-06 02:12:00
1469,2012-03-11 00:00:00,2012-03-11 03:48:00
6699,2016-08-07 00:12:00,2016-08-20 06:48:00
2912,2013-06-27 20:12:00,2013-07-05 01:48:00
2548,2013-03-08 13:12:00,2013-03-12 04:12:00
4134,2014-05-13 17:24:00,2014-05-17 14:12:00
2432,2013-01-27 22:00:00,2013-02-06 02:00:00
6794,2016-10-02 19:12:00,2016-10-16 02:12:00
4143,2014-05-16 09:36:00,2014-05-20 14:12:00
6677,2016-07-13 01:48:00,2016-07-15 02:36:00
7068,2017-07-01 21:36:00,2017-07-03 19:48:00
1934,2012-08-08 16:36:00,2012-08-10 06:24:00
1943,2012-08-16 05:00:00,2012-08-23 12:48:00
1519,2012-03-28 08:12:00,2012-03-29 04:12:00
7165,2017-10-16 21:24:00,2017-10-22 12:00:00
1463,2012-03-09 15:00:00,2012-03-10 23:00:00
3320,2013-10-26 01:12:00,2013-11-05 21:48:00
7112,2017-08-22 12:00:00,2017-08-23 12:36:00
510,2011-04-15 09:48:00,2011-04-18 14:24:00
2178,2012-11-04 19:12:00,2012-11-09 04:00:00
567,2011-05-01 15:48:00,2011-05-02 19:48:00
847,2011-09-05 21:00:00,2011-09-20 02:00:00
589,2011-05-08 04:48:00,2011-05-12 15:36:00
6230,2016-01-03 01:24:00,2016-01-13 13:36:00
